,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
5642,2320-tzrrh,female,no,no,no,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.5,403.15,0
3206,6972-snkkw,female,no,no,no,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.0,109.2,0
4775,5480-tbgph,female,no,yes,no,24,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit_card_(automatic),99.3,2431.35,1
3811,3620-mwjne,male,no,no,no,2,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,mailed_check,54.45,87.3,0
2287,5440-flbqg,male,yes,yes,no,69,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),108.4,7318.2,1
650,9576-anlxo,female,no,no,no,3,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),69.55,222.3,1
1559,9818-xqcuv,female,no,no,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.35,45.3,0
2970,2815-cptul,male,yes,no,no,5,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,mailed_check,70.25,331.9,1
487,3649-jpugy,male,no,no,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),88.6,6201.95,0
2573,4074-sjffa,female,no,no,no,1,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed_check,54.75,54.75,1
6351,1842-ezjmk,male,no,yes,yes,50,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,month-to-month,no,electronic_check,103.7,5071.05,1
5243,7661-cpurm,male,no,no,no,19,yes,no,fiber_optic,no,no,no,yes,no,yes,one_year,yes,credit_card_(automatic),87.7,1725.95,0
1772,7198-glxtc,male,no,no,no,2,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,no,electronic_check,79.0,143.65,1
4184,0495-zbngw,male,yes,yes,no,5,yes,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),79.9,343.95,1
2290,7470-mcqtk,female,no,yes,no,13,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),48.75,633.4,1
1678,1060-entof,female,yes,yes,no,67,yes,yes,fiber_optic,yes,yes,yes,yes,no,yes,one_year,yes,credit_card_(automatic),105.4,7035.6,0
345,0021-ikxgc,female,yes,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,72.1,72.1,0
1313,6599-rclcj,male,no,yes,no,47,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic_check,109.55,5124.55,1
3458,0311-unpff,female,no,no,no,26,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),88.8,2274.35,1
6263,8409-wqjux,female,no,no,no,25,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,one_year,no,electronic_check,54.2,1423.15,0
4623,8755-iwjhn,male,yes,yes,no,69,yes,yes,fiber_optic,no,yes,yes,no,no,yes,month-to-month,yes,bank_transfer_(automatic),95.35,6382.0,0
852,8713-igzso,male,no,no,no,2,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,24.85,62.0,0
6787,3174-rkmow,male,no,yes,yes,35,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic_check,109.95,3782.4,0
4993,5360-xgyaz,male,no,yes,yes,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),65.65,4664.5,0
92,7233-pahhl,male,no,yes,yes,66,yes,yes,dsl,yes,no,yes,yes,yes,yes,two_year,yes,mailed_check,84.0,5714.25,0
4146,9821-pootn,male,no,yes,no,35,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.2,2576.2,1
6878,2990-hwiml,female,no,no,no,6,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,89.5,573.3,1
5806,7854-ektjl,female,no,no,yes,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,19.6,35.85,1
4769,2878-dhmin,male,no,yes,yes,35,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,19.9,666.0,0
2961,6898-mdlzw,male,no,no,no,12,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,mailed_check,53.75,648.65,0
4894,0533-ucaau,male,yes,yes,no,57,yes,yes,dsl,no,yes,yes,no,yes,no,one_year,yes,credit_card_(automatic),71.1,4140.1,0
794,4257-gaesd,female,no,no,no,6,no,no_phone_service,dsl,no,no,no,no,yes,yes,month-to-month,no,credit_card_(automatic),45.0,298.7,0
6291,2890-wfbhu,female,no,no,no,59,yes,yes,dsl,yes,yes,yes,yes,no,yes,one_year,no,credit_card_(automatic),79.85,4786.1,0
2440,2171-udmfd,male,no,yes,yes,32,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,credit_card_(automatic),19.45,674.55,0
6662,6810-vcaex,female,no,no,no,47,no,no_phone_service,dsl,yes,yes,no,yes,no,no,one_year,no,credit_card_(automatic),39.65,1798.65,0
2316,9367-oiuxp,male,no,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.7,73.05,0
5840,1534-oulxe,female,no,yes,yes,61,yes,no,dsl,yes,no,no,no,no,no,one_year,yes,bank_transfer_(automatic),49.7,2961.4,0
2390,1226-jznkr,female,no,yes,yes,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,19.8,160.05,0
3499,0426-tirne,female,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.9,20.9,1
6490,3985-hoypm,male,no,no,no,26,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.4,525.55,0
4028,5574-nxziu,male,no,no,no,63,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),109.2,7049.75,0
3196,4393-obcrr,female,no,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.25,71.2,0
702,1766-gknmi,male,no,no,no,29,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,84.9,2516.2,0
1774,5207-plstk,male,no,yes,yes,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed_check,48.75,48.75,0
4996,3557-htywr,female,no,no,no,47,yes,yes,dsl,yes,yes,no,yes,no,yes,two_year,no,mailed_check,74.05,3496.3,0
3745,2645-qtlmb,male,no,no,no,7,yes,no,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,94.25,669.0,1
4389,1482-oxzsy,male,no,no,no,30,yes,yes,fiber_optic,yes,no,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),100.4,2936.25,0
6864,5480-hprrx,female,yes,no,no,3,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,no,electronic_check,25.3,77.75,1
5031,8118-tjafg,male,no,yes,yes,9,yes,no,fiber_optic,no,yes,no,yes,yes,yes,month-to-month,yes,electronic_check,101.5,906.85,0
2941,6176-yjwas,male,no,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,two_year,yes,credit_card_(automatic),97.95,7114.25,0
2743,2323-arsvr,male,no,yes,no,67,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,111.05,7321.05,0
5226,8044-bgwpi,male,no,yes,yes,12,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,21.15,306.05,0
5671,6370-zvhdv,female,no,yes,no,61,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),25.3,1554.9,0
825,2311-qymuq,female,no,yes,yes,16,yes,no,fiber_optic,no,yes,yes,no,yes,no,month-to-month,yes,credit_card_(automatic),89.45,1430.25,1
3249,4324-bzckl,female,no,yes,yes,10,yes,no,dsl,no,yes,yes,no,no,no,month-to-month,yes,mailed_check,55.55,551.3,0
5245,5902-wblse,female,no,yes,yes,70,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),20.15,1411.2,0
4045,3677-tnkio,female,no,no,no,14,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),71.0,914.0,1
4181,4553-dvpzg,female,no,yes,no,62,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,101.35,6164.7,0
1525,3012-vffmn,female,no,yes,yes,7,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.65,158.95,0
2491,1552-tkmxs,female,no,yes,no,42,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,credit_card_(automatic),20.35,869.9,0
6832,9173-ivzvp,female,no,yes,yes,53,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.9,1146.05,0
4534,2607-fbdff,male,no,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,credit_card_(automatic),49.0,49.0,0
5065,6551-zcots,male,yes,no,no,33,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,bank_transfer_(automatic),24.9,847.8,0
4510,6368-nwmce,female,no,no,no,38,yes,yes,dsl,no,yes,no,yes,no,yes,month-to-month,no,credit_card_(automatic),68.15,2656.3,0
5057,7354-oijlx,male,no,no,no,9,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.85,724.65,0
6784,9546-kdtrb,female,no,no,no,19,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,bank_transfer_(automatic),24.7,465.85,0
430,9063-zgtuy,female,no,yes,yes,61,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,19.4,1182.55,1
4552,1385-tqozw,female,no,no,no,9,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,credit_card_(automatic),20.45,147.55,0
2543,0952-kmeeh,male,no,no,no,13,yes,yes,fiber_optic,yes,no,no,no,yes,yes,month-to-month,no,mailed_check,98.15,1230.25,1
7029,2235-dwlju,female,yes,no,no,6,no,no_phone_service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,44.4,263.05,0
569,0308-ivgok,female,no,no,no,11,no,no_phone_service,dsl,no,yes,yes,yes,no,no,one_year,yes,credit_card_(automatic),40.4,422.6,0
2249,5527-achso,female,no,no,no,11,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,no,mailed_check,70.5,829.3,0
4656,9800-ontfe,female,no,yes,yes,22,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),75.8,1615.1,0
5659,0674-gcdxg,male,no,no,no,63,yes,yes,dsl,yes,no,yes,yes,no,yes,two_year,yes,bank_transfer_(automatic),71.9,4479.2,0
1015,3863-iubjr,male,no,yes,yes,12,yes,no,dsl,no,no,no,no,no,yes,one_year,no,credit_card_(automatic),53.65,696.35,1
4807,9695-idrzr,female,no,no,yes,34,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),116.15,3946.9,0
5630,9801-gdwgv,female,no,no,no,39,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,103.45,3994.45,1
6687,5561-nwevx,female,yes,yes,no,2,yes,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,no,electronic_check,79.2,172.85,1
1739,9804-icwbg,male,no,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,69.9,69.9,1
1128,0098-bowso,male,no,no,no,27,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,19.4,529.8,0
2102,2911-wdxmv,male,no,no,yes,18,yes,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,credit_card_(automatic),80.55,1406.65,0
4095,0641-evboj,male,no,no,no,3,yes,no,fiber_optic,yes,no,no,yes,no,no,month-to-month,yes,mailed_check,82.3,214.4,0
320,5020-zstty,female,yes,no,no,54,yes,yes,dsl,yes,yes,no,yes,yes,yes,one_year,no,bank_transfer_(automatic),82.45,4350.1,1
5266,2027-dnkiv,male,no,yes,yes,37,yes,no,dsl,yes,no,yes,yes,no,no,one_year,yes,mailed_check,58.75,2203.1,0
3963,3274-nsdwe,female,no,no,no,68,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.6,1441.65,0
4687,3647-gmgdh,male,no,yes,no,22,yes,no,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,credit_card_(automatic),94.7,1914.9,1
6306,0186-caerr,male,no,no,no,71,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),116.3,8309.55,0
3769,2129-alkbs,female,no,yes,yes,40,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,26.2,1077.5,0
632,1775-kwjkq,male,no,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),89.85,6562.9,0
577,8270-rksap,male,no,no,no,9,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.5,597.9,0
4441,4825-furez,male,no,yes,no,42,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,electronic_check,20.25,835.5,0
2925,2931-xiqbr,female,no,yes,yes,50,yes,no,fiber_optic,no,no,yes,yes,yes,yes,one_year,no,mailed_check,103.05,5153.5,0
6297,0864-fvjnj,female,no,yes,yes,64,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,no,electronic_check,113.35,7222.75,0
1080,0301-kobtq,male,no,no,no,32,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),20.05,614.45,0
5144,1078-tdcrn,female,yes,yes,no,3,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic_check,30.75,82.85,0
4490,0442-zxkvs,female,yes,yes,no,54,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),115.6,6431.05,0
3878,2223-gdshl,male,no,yes,yes,71,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),116.05,8297.5,0
5102,9070-bckqp,female,no,yes,no,72,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),110.15,7881.2,0
4697,0129-kptwj,male,no,yes,no,72,yes,no,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,94.65,6747.35,0
3475,8610-zikjj,female,no,yes,yes,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.3,31.9,0
1855,5296-bfcyd,male,no,yes,yes,46,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,20.1,936.85,0
4302,9134-wyrvp,male,no,no,no,51,yes,no,fiber_optic,yes,no,no,no,yes,no,one_year,no,mailed_check,86.35,4267.15,0
2426,1049-fysyg,female,no,yes,no,17,no,no_phone_service,dsl,no,yes,yes,no,no,no,month-to-month,yes,credit_card_(automatic),35.65,646.05,0
1917,3219-jqrsl,female,yes,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),89.1,6352.4,0
6806,4933-bsaip,female,no,yes,no,40,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.1,780.1,0
6532,1763-kuaaw,female,yes,no,no,18,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),20.35,369.6,0
4154,4229-czmll,male,no,no,no,6,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,74.9,469.8,1
983,8603-ijwdn,male,no,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,86.6,86.6,1
5497,7614-qvwql,male,no,yes,yes,49,no,no_phone_service,dsl,no,yes,no,no,yes,yes,one_year,yes,bank_transfer_(automatic),51.8,2541.25,1
1675,6311-ueume,female,no,no,no,29,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,78.9,2384.15,1
785,0691-ifbqw,female,yes,no,no,46,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,one_year,yes,electronic_check,110.0,4874.8,1
5503,1757-tcatg,male,no,yes,yes,35,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),20.05,746.75,0
5746,4817-qrjsx,female,no,no,no,10,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,credit_card_(automatic),81.0,818.05,1
2762,8929-kswih,male,no,no,no,25,yes,no,fiber_optic,no,no,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),99.3,2513.5,0
1973,9675-icxct,male,no,yes,yes,72,yes,no,dsl,yes,no,yes,yes,yes,yes,two_year,yes,electronic_check,80.8,5728.55,0
3181,1265-zfosd,female,no,yes,no,64,yes,yes,dsl,yes,yes,yes,yes,no,yes,two_year,yes,mailed_check,81.3,5129.3,0
5395,9095-hfafx,female,no,no,no,5,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,credit_card_(automatic),81.0,389.6,1
6694,4526-rmtll,male,no,yes,yes,8,yes,yes,dsl,yes,yes,no,yes,no,yes,two_year,yes,credit_card_(automatic),76.15,645.8,0
5980,7049-gkvzy,female,no,no,no,17,yes,no,dsl,yes,yes,no,yes,yes,yes,one_year,no,credit_card_(automatic),79.85,1387.35,0
500,4374-ymusq,male,no,no,no,34,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,no,credit_card_(automatic),116.25,3899.05,0
5972,1324-nltje,female,yes,no,no,15,yes,yes,dsl,no,no,no,yes,no,no,month-to-month,no,credit_card_(automatic),55.0,757.1,1
363,5176-lmjxe,female,no,no,no,47,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,20.55,945.7,0
2117,4139-detxs,female,no,yes,yes,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),64.45,4528.0,0
2905,4692-nnqru,female,no,yes,no,21,yes,no,fiber_optic,no,no,yes,yes,no,no,one_year,no,electronic_check,79.2,1742.45,0
3853,7128-ggcno,male,no,no,no,46,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),72.8,3249.4,0
1361,3249-zpqrg,male,no,no,no,4,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,no,electronic_check,78.45,330.05,1
292,2294-salne,male,no,yes,yes,23,yes,no,fiber_optic,no,yes,yes,yes,no,no,one_year,no,mailed_check,86.8,1940.8,0
2583,6463-mvyry,female,yes,no,no,57,yes,no,dsl,yes,no,yes,yes,yes,no,two_year,no,bank_transfer_(automatic),69.85,4003.0,0
6725,2061-vvfst,female,no,yes,no,37,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,bank_transfer_(automatic),19.5,805.2,0
6111,9812-ghvri,female,no,no,no,40,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,no,bank_transfer_(automatic),83.85,3532.25,0
4426,8652-yhiyu,female,no,no,yes,16,yes,yes,fiber_optic,no,no,no,yes,no,no,one_year,yes,credit_card_(automatic),79.5,1264.2,0
1682,9225-bzlnz,male,no,yes,no,72,yes,yes,dsl,yes,yes,yes,no,yes,yes,two_year,yes,electronic_check,85.25,6083.1,0
93,6067-ngceu,female,no,no,no,65,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,month-to-month,yes,credit_card_(automatic),111.05,7107.0,0
4148,9142-xmyjh,female,no,no,no,29,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,credit_card_(automatic),19.35,601.6,0
5277,0345-hkjvm,female,no,no,no,6,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,no,electronic_check,89.3,577.6,1
5293,2242-mfotg,male,no,no,no,33,yes,yes,fiber_optic,yes,no,no,no,no,no,one_year,no,bank_transfer_(automatic),80.1,2603.3,0
6704,9912-omzds,female,no,yes,yes,59,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,106.15,6256.2,0
5108,7811-jivpf,female,no,no,no,23,yes,no,dsl,no,no,yes,no,no,no,month-to-month,no,credit_card_(automatic),49.7,1081.25,0
6395,3058-hjcuy,male,no,yes,yes,41,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,one_year,yes,electronic_check,102.6,4213.35,1
2078,7746-qyvco,male,no,yes,yes,16,yes,no,dsl,yes,yes,no,no,no,no,one_year,yes,mailed_check,55.85,857.8,0
859,5275-pmfut,male,no,yes,yes,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),64.8,4719.75,0
4350,1518-omdik,male,no,yes,no,33,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),44.55,1462.6,0
279,4130-mzlcc,female,no,no,no,5,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,bank_transfer_(automatic),50.55,244.75,0
5179,9048-jvyvf,male,no,no,no,3,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,electronic_check,69.35,191.35,1
6486,2100-bdnsn,female,no,yes,no,5,yes,yes,dsl,no,no,yes,yes,yes,no,month-to-month,no,bank_transfer_(automatic),67.95,350.3,1
2705,4231-lzuym,female,no,yes,no,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),25.65,1887.0,0
1939,8267-kfgyd,male,no,no,yes,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,21.05,21.05,0
4569,7639-supcw,female,no,no,no,22,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),48.8,1054.6,1
3259,9620-enejv,female,no,no,no,6,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,credit_card_(automatic),70.55,433.95,0
6695,6253-gnhwh,female,no,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,no,no,two_year,no,mailed_check,71.1,5224.95,0
1956,0019-efaep,female,no,no,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,two_year,yes,bank_transfer_(automatic),101.3,7261.25,0
4680,1986-phgzf,male,yes,no,no,18,yes,yes,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit_card_(automatic),58.4,964.9,0
3202,5501-tvmgm,male,no,no,no,1,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic_check,55.25,55.25,0
2437,0567-ggcac,female,no,no,no,7,yes,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,electronic_check,61.4,438.9,0
5093,2676-sslto,male,no,no,no,49,yes,yes,dsl,no,no,no,yes,yes,no,two_year,yes,bank_transfer_(automatic),66.15,3199.0,0
861,9777-iqhwp,male,no,yes,yes,64,yes,yes,fiber_optic,yes,no,yes,no,no,yes,two_year,no,bank_transfer_(automatic),93.4,5822.3,0
5850,6927-wtfiv,male,yes,no,no,20,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,credit_card_(automatic),71.3,1389.2,1
938,2692-aqcpf,female,no,yes,no,65,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,yes,credit_card_(automatic),108.05,7118.9,0
2135,4010-ylmvt,female,no,no,no,56,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),106.6,5893.95,0
2056,4138-naxed,male,no,no,no,51,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,no,bank_transfer_(automatic),81.0,4085.75,0
6,1452-kiovk,male,no,no,yes,22,yes,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,credit_card_(automatic),89.1,1949.4,0
1063,7143-bqiba,male,no,no,no,10,yes,no,dsl,yes,no,no,yes,yes,no,month-to-month,no,bank_transfer_(automatic),62.25,612.95,0
6609,1000-ajsld,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,20.1,20.1,1
4326,1455-esiqh,male,no,no,no,1,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,89.1,89.1,1
6400,7921-bepci,female,no,no,no,72,yes,yes,dsl,yes,yes,no,no,no,no,two_year,no,bank_transfer_(automatic),59.75,4265.0,0
4981,8008-hawed,male,no,no,no,14,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,50.75,712.75,1
5668,0147-eswwr,female,yes,yes,no,39,yes,yes,fiber_optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic_check,101.25,3949.15,0
224,5961-vusrv,female,no,no,no,12,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,bank_transfer_(automatic),19.35,219.35,0
4566,8375-kvthk,male,no,yes,no,68,yes,no,fiber_optic,no,yes,no,yes,yes,yes,one_year,yes,electronic_check,100.3,6754.35,0
1523,9327-qsded,male,no,no,no,8,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,43.55,335.4,0
2388,9822-oaovb,female,no,no,no,1,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic_check,55.45,55.45,0
3275,1245-harps,female,no,yes,no,14,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.4,292.4,0
436,4980-urkxc,male,no,yes,no,36,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),20.85,720.05,0
